cnty_fips,display_name,median_household_income,poverty_perc,percent_no_heath_insurance,percent_high_blood_pressure,education_less_than_high_school_percent
2013,"""Aleutians East, (AK)""",79000,15.1,23.3,34.1,13.4
2016,"""Aleutians West, (AK)""",92000,8.1,17.7,30.3,8.2
2020,"""Anchorage, (AK)""",85000,8.3,11.1,28.8,6.0
2050,"""Bethel, (AK)""",52000,25.3,16.8,36.2,16.5
2060,"""Bristol Bay, (AK)""",87000,10.7,15.1,33.6,6.2
2068,"""Denali, (AK)""",80000,6.4,11.5,30.9,2.3
2070,"""Dillingham, (AK)""",72000,18.7,15.5,35.1,13.5
2090,"""Fairbanks North Star, (AK)""",77000,7.2,11.3,28.0,5.5
2100,"""Haines, (AK)""",105000,9.6,12.6,36.7,2.0
2105,"""Hoonah-Angoon, (AK)""",56000,12.7,20.0,40.9,6.0
2110,"""Juneau, (AK)""",89000,8.1,11.4,29.7,3.8
2122,"""Kenai Peninsula, (AK)""",68000,10.6,13.8,35.9,7.0
2130,"""Ketchikan Gateway, (AK)""",77000,8.3,13.5,33.7,6.1
2150,"""Kodiak Island, (AK)""",72000,7.5,18.2,28.9,10.4
2164,"""Lake and Peninsula, (AK)""",54000,17.6,19.1,37.5,11.8
2170,"""Matanuska-Susitna, (AK)""",90000,8.7,12.8,32.1,6.4
2180,"""Nome, (AK)""",64000,18.8,17.2,33.8,14.0
2185,"""North Slope, (AK)""",95000,11.1,13.2,32.3,11.3
2188,"""Northwest Arctic, (AK)""",65000,18.5,17.5,34.9,15.5
2195,"""Petersburg, (AK)""",66000,7.4,16.7,33.9,10.8
2198,"""Prince of Wales-Hyder, (AK)""",54000,15.9,18.9,39.6,8.7
2220,"""Sitka, (AK)""",79000,7.4,13.4,32.2,4.8
2230,"""Skagway, (AK)""",78000,3.8,11.1,31.0,11.5
2240,"""Southeast Fairbanks, (AK)""",65000,11.7,18.3,33.3,8.9
2261,"""Valdez-Cordova, (AK)""",0,0.0,14.7,0.0,0.0
2158,"""Kusilvak, (AK)""",38000,27.9,15.6,39.1,21.4
2275,"""Wrangell, (AK)""",65000,10.6,18.4,39.4,11.7
2282,"""Yakutat, (AK)""",68000,12.4,18.2,38.5,5.6
2290,"""Yukon-Koyukuk, (AK)""",43000,20.5,20.0,38.9,12.0
6001,"""Alameda, (CA)""",114000,8.6,5.1,25.7,11.2
6005,"""Amador, (CA)""",68000,10.3,7.5,34.4,8.8
6007,"""Butte, (CA)""",55000,17.3,7.8,29.3,10.3
6009,"""Calaveras, (CA)""",66000,11.6,7.9,35.8,10.3
6011,"""Colusa, (CA)""",59000,10.3,12.2,28.0,27.2
6013,"""Contra Costa, (CA)""",106000,7.2,6.5,26.5,10.1
6015,"""Del Norte, (CA)""",47000,18.5,8.4,32.8,20.3
6017,"""El Dorado, (CA)""",88000,8.4,6.2,30.5,6.0
6021,"""Glenn, (CA)""",58000,12.4,12.4,29.4,25.5
6023,"""Humboldt, (CA)""",56000,15.8,9.5,30.0,9.4
6031,"""Kings, (CA)""",60000,14.5,9.4,26.7,26.0
6033,"""Lake, (CA)""",52000,15.9,9.4,35.0,13.8
6035,"""Lassen, (CA)""",64000,15.5,5.0,29.1,19.5
6041,"""Marin, (CA)""",128000,6.0,5.3,27.7,6.4
6043,"""Mariposa, (CA)""",57000,13.3,9.9,35.4,9.1
6045,"""Mendocino, (CA)""",53000,14.3,10.6,32.6,13.3
6047,"""Merced, (CA)""",59000,16.3,11.4,27.4,30.3
6049,"""Modoc, (CA)""",47000,17.9,11.5,36.9,15.3
6053,"""Monterey, (CA)""",85000,11.6,11.9,25.9,27.0
6055,"""Napa, (CA)""",92000,7.9,8.7,27.7,14.5
6057,"""Nevada, (CA)""",74000,9.2,7.0,33.2,5.4
6061,"""Placer, (CA)""",101000,6.5,4.9,28.1,4.9
6063,"""Plumas, (CA)""",58000,13.5,6.7,35.9,5.3
6067,"""Sacramento, (CA)""",73000,12.5,6.8,27.1,12.1
6069,"""San Benito, (CA)""",91000,7.9,9.0,26.3,18.1
6075,"""San Francisco, (CA)""",122000,10.0,5.2,24.2,11.4
6077,"""San Joaquin, (CA)""",71000,13.9,8.2,28.3,19.9
6079,"""San Luis Obispo, (CA)""",79000,10.6,7.0,27.7,8.2
6081,"""San Mateo, (CA)""",132000,5.5,5.8,25.0,9.6
6083,"""Santa Barbara, (CA)""",86000,10.5,12.0,24.7,18.2
6085,"""Santa Clara, (CA)""",139000,6.6,5.5,23.1,11.3
6087,"""Santa Cruz, (CA)""",93000,10.7,7.9,25.7,11.7
6089,"""Shasta, (CA)""",59000,13.9,8.1,31.4,8.9
6091,"""Sierra, (CA)""",59000,11.5,7.1,38.4,7.5
6093,"""Siskiyou, (CA)""",49000,14.3,9.3,34.9,10.1
6095,"""Solano, (CA)""",84000,9.3,6.0,27.8,11.3
6097,"""Sonoma, (CA)""",87000,7.8,7.8,28.0,10.9
6099,"""Stanislaus, (CA)""",65000,13.0,8.4,28.5,20.2
6101,"""Sutter, (CA)""",66000,11.5,8.9,29.1,20.2
6103,"""Tehama, (CA)""",62000,13.3,8.7,34.1,14.1
6105,"""Trinity, (CA)""",45000,18.0,10.1,38.8,7.0
6109,"""Tuolumne, (CA)""",63000,12.1,6.8,35.1,9.0
6113,"""Yolo, (CA)""",81000,14.8,6.7,24.0,12.5
6115,"""Yuba, (CA)""",56000,16.3,8.1,26.9,17.8
15001,"""Hawaii, (HI)""",70000,12.2,5.6,30.9,7.1
